NomeDP,Tempo,Valor,Processado,Comentário
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:34,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:36,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:38,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:39,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:40,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:42,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:43,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:44,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:45,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:48,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:49,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:51,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:52,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:53,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:54,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:55,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:56,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:58,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:59,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:01,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:03,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:04,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:05,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:06,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:08,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:09,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:10,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:11,139.16100000000006,"139,16",
